/home/rgundaka/miniconda3/envs/rishig/lib/python3.6/site-packages/torch/functional.py:445: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2157.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram (use `wandb login --relogin` to force relogin)
0
Weights loaded from /groups/tensorlab/rgundaka/code/PINO/CPINO/experiments/Darcy_cpino/checkpoints/darcy-cpino.pt
wandb: wandb version 0.12.16 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.10
wandb: Syncing run dandy-snowball-54
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO/runs/12yhokht
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/PINO/CPINO/experiments/Darcy_cpino/wandb/run-20220525_231651-12yhokht
wandb: Run `wandb offline` to turn off syncing.


  0% 0/500 [00:00<?, ?it/s]
Equation error: 1.66119, test l2 error: 0.05418640002608299:   0% 0/500 [00:00<?, ?it/s]
Equation error: 1.66119, test l2 error: 0.05418640002608299:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.51376, test l2 error: 0.06731174886226654:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 0.98362, test l2 error: 0.04483860358595848:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.00873, test l2 error: 0.1025242954492569:   0% 1/500 [00:00<01:59,  4.17it/s] 
Equation error: 1.68168, test l2 error: 0.152981236577034:   0% 1/500 [00:00<01:59,  4.17it/s] 
Equation error: 1.61783, test l2 error: 0.08480631560087204:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.22318, test l2 error: 0.06092442199587822:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 0.93751, test l2 error: 0.03859322890639305:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.51106, test l2 error: 0.1069742739200592:   0% 1/500 [00:00<01:59,  4.17it/s] 
Equation error: 1.56945, test l2 error: 0.05488422140479088:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.05354, test l2 error: 0.06294769793748856:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.36280, test l2 error: 0.08227947354316711:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.19514, test l2 error: 0.045521050691604614:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.37079, test l2 error: 0.07820858806371689:   4% 21/500 [00:00<00:07, 63.32it/s]
Equation error: 1.37079, test l2 error: 0.07820858806371689:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.53650, test l2 error: 0.12562644481658936:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.47298, test l2 error: 0.10367204993963242:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.24006, test l2 error: 0.061260856688022614:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.54741, test l2 error: 0.07487773150205612:  10% 50/500 [00:00<00:03, 118.01it/s] 
Equation error: 1.12487, test l2 error: 0.052989374846220016:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.15515, test l2 error: 0.04772898182272911:  10% 50/500 [00:00<00:03, 118.01it/s] 
Equation error: 0.97208, test l2 error: 0.03973213583230972:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 0.92149, test l2 error: 0.06886401027441025:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.15582, test l2 error: 0.0450388602912426:  10% 50/500 [00:00<00:03, 118.01it/s] 
Equation error: 1.03862, test l2 error: 0.0484662726521492:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.13758, test l2 error: 0.06301674991846085:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.80143, test l2 error: 0.13853323459625244:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.16427, test l2 error: 0.1284654140472412:  10% 50/500 [00:00<00:03, 118.01it/s] 
Equation error: 1.50683, test l2 error: 0.058401431888341904:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.76842, test l2 error: 0.06725652515888214:  10% 50/500 [00:00<00:03, 118.01it/s] 
Equation error: 1.07708, test l2 error: 0.06497068703174591:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.19889, test l2 error: 0.035921476781368256:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.57861, test l2 error: 0.06874190270900726:  10% 50/500 [00:00<00:03, 118.01it/s] 
Equation error: 1.15710, test l2 error: 0.04625675454735756:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.12535, test l2 error: 0.06017439439892769:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.43496, test l2 error: 0.046183034777641296:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.47789, test l2 error: 0.051956020295619965:  10% 50/500 [00:00<00:03, 118.01it/s]
Equation error: 1.47789, test l2 error: 0.051956020295619965:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.26813, test l2 error: 0.040039289742708206:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.06774, test l2 error: 0.032140277326107025:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.14839, test l2 error: 0.05466190353035927:  14% 72/500 [00:00<00:03, 137.99it/s] 
Equation error: 1.74234, test l2 error: 0.0759221613407135:  14% 72/500 [00:00<00:03, 137.99it/s] 
Equation error: 1.28663, test l2 error: 0.05513538047671318:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.26479, test l2 error: 0.054460495710372925:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 0.90015, test l2 error: 0.03211423009634018:  14% 72/500 [00:00<00:03, 137.99it/s] 
Equation error: 1.14007, test l2 error: 0.05045264586806297:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 0.98533, test l2 error: 0.059806279838085175:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.47148, test l2 error: 0.05180361121892929:  14% 72/500 [00:00<00:03, 137.99it/s] 
Equation error: 1.45090, test l2 error: 0.05241246521472931:  14% 72/500 [00:00<00:03, 137.99it/s]
